('T286786', 'CAT695')
('T025160', 'DNM3OS.1')
('T082402', 'LACAT93')
('T320576', 'LSCAT58')
('T010910', 'BRCAT327')
('T116764', 'LSCAT151')
('T262604', 'CAT530')
('T084523', 'KCCAT384')
('T318439', 'THCAT281')
('T174648', 'CAT2099')
('T353730', 'FAM83H-AS1.1')
('T118455', 'CAT1766.3')
('T200012', 'CAT313.6')
('T190754', 'OVAT15.2')
('T117883', 'CAT1762.1')
('T125231', 'CAT1807')
('T214684', 'ESAT110.3')
('T246324', 'THCAT54')
('T364217', 'KHCAT432')
('T367347', 'BRCAT194')
('T376712', 'CAT2291')
('T152901', 'KHCAT438.2')
('T237720', 'AMAT68')
('T257555', 'LINC00887.15')
('T032399', 'CAT180.3')
('T337103', 'THCAT299')
('T355887', 'OVAT209')
('T056987', 'CAT1350.4')
('T256697', 'BRCAT378')
('T229076', 'KCCAT10')
('T058260', 'AMAT172')
('T261339', 'HNCAT243')
('T351196', 'CAT1097.2')
('T042008', 'KHCAT453')
('T056648', 'BRCAT144')
('T104302', 'HNCAT105')
('T042006', 'CVAT27')
('T012147', 'LSCAT46.1')
('T227647', 'CAT2217.4')
('T012419', 'CAT62.6')
('T064190', 'AMAT112')
('T201362', 'CAT319')
('T020090', 'CAT110.2')
('T156338', 'KCCAT612')
('T075623', 'CAT1484.8')
('T203229', 'CAT336')
('T264004', 'PRCAT132')
('T304560', 'CAT808')
('T345171', 'CAT1052')
('T267386', 'LACAT168')
('T340906', 'KHCAT385.2')
('T185108', 'OVAT24')
('T274512', 'KCCAT18')
('T225716', 'HNCAT227')
('T026520', 'CAT144.2')
('T195045', 'KCCAT362.2')
('T350233', 'CAT1089.2')
('T292380', 'MEAT17')
